name, desc, gmina, powiat, wojew
Abisynia,część kolonii Dąbrowa,Hrubieszów,hrubieszowski,lubelskie
Abisynia,część wsi Drawsko,Drawsko,czarnkowsko-trzcianecki,wielkopolskie
Abramowice,przysiółek wsi Szczyrzyc,Jodłownik,limanowski,małopolskie
Abramów,część wsi Bychawka Druga-Kolonia,Bychawa,lubelski,lubelskie
Achrymowce,wieś,Kuźnica,sokólski,podlaskie
Adamczyki,część wsi Gruszczyce,Błaszki,sieradzki,łódzkie
Adamin,wieś,Olszówka,kolski,wielkopolskie
Adamki,wieś,Zbójno,golubsko-dobrzyński,kujawsko-pomorskie
Adamki,osada,Koczała,człuchowski,pomorskie
Adamkówka,część wsi Jachówka,Budzów,suski,małopolskie
Adamowice,wieś,Gołcza,miechowski,małopolskie
Adamowizna,wieś,Szypliszki,suwalski,podlaskie
Adamowo,wieś,Strzegowo,mławski,mazowieckie
Adamowo,wieś,Długosiodło,wyszkowski,mazowieckie
Adamowo,część wsi Kozarze,Ciechanowiec,wysokomazowiecki,podlaskie
Adamowo,wieś,Susz,iławski,warmińsko-mazurskie
Adamowo,wieś,Wolsztyn,wolsztyński,wielkopolskie
Adamów,kolonia,Rejowiec,chełmski,lubelskie
Adamów,osada,Kleszczów,bełchatowski,łódzkie
Adamów,część kolonii Nowa Żelazna,Daszyna,łęczycki,łódzkie
Adamów,wieś,Łęki Szlacheckie,piotrkowski,łódzkie
Adamów,część wsi Gutków,Będków,tomaszowski,łódzkie
Adamów,wieś,Głowaczów,kozienicki,mazowieckie
Adamów,przysiółek wsi Rożki,Kowala,radomski,mazowieckie
Adamów,wieś,Smyków,konecki,świętokrzyskie
Adamów,wieś,Krzymów,koniński,wielkopolskie
Adamówek,wieś,Mszczonów,żyrardowski,mazowieckie
Adamówka,część miasta Sochaczew,Sochaczew m,sochaczewski,mazowieckie
Adamówka,część miasta Staszów,Staszów,staszowski,świętokrzyskie
Adamów-Parcel,wieś,Radziejowice,żyrardowski,mazowieckie
Adampol,osada leśna,Wyryki,włodawski,lubelskie
Adamy,część wsi Lachowice,Stryszawa,suski,małopolskie
Adelina,wieś,Chodel,opolski,lubelskie
Adolfin,kolonia,Siedliszcze,chełmski,lubelskie
Adolfowo,część wsi Studźce,Margonin,chodzieski,wielkopolskie
Adolfów,część wsi Baranów,Busko-Zdrój,buski,świętokrzyskie
Agatówka,wieś,Trzydnik Duży,kraśnicki,lubelskie
Agnieszkowo,wieś,Szczutowo,sierpecki,mazowieckie
Akacyjki,część wsi Giżyce,Grabów nad Prosną,ostrzeszowski,wielkopolskie
Albertowa,część wsi Jabłonka,Jabłonka,nowotarski,małopolskie
Albertów,wieś,Lutomiersk,pabianicki,łódzkie
Albertów,wieś,Turek,turecki,wielkopolskie
Albinów,wieś,Głowno,zgierski,łódzkie
Albinów Mały,wieś,Goraj,biłgorajski,lubelskie
Aleja Fabryczna,część wsi Czaniec,Porąbka,bielski,śląskie
Aleksandria,wieś,Konopiska,częstochowski,śląskie
Aleksandria Pierwsza,część wsi Aleksandria,Konopiska,częstochowski,śląskie
Aleksandrowo,wieś,Dobrcz,bydgoski,kujawsko-pomorskie
Aleksandrowo,część wsi Pokrytki,Strzegowo,mławski,mazowieckie
Aleksandrowo,wieś,Staroźreby,płocki,mazowieckie
Aleksandrowo,wieś,Grodzisk,siemiatycki,podlaskie
Aleksandrowo,osada leśna,Rakoniewice,grodziski,wielkopolskie
Aleksandrów,część wsi Sapiehów,Sosnówka,bialski,lubelskie
Aleksandrów,wieś,Kleszczów,bełchatowski,łódzkie
Aleksandrów,część wsi Kamocin,Grabica,piotrkowski,łódzkie
Aleksandrów,wieś,Wyśmierzyce,białobrzeski,mazowieckie
Aleksandrów,wieś,Magnuszew,kozienicki,mazowieckie
Aleksandrów,wieś,Jakubów,miński,mazowieckie
Aleksandrów,wieś,Jedlnia-Letnisko,radomski,mazowieckie
Aleksandrów,wieś,Wiskitki,żyrardowski,mazowieckie
Aleksandrów,przysiółek wsi Skorocice,Wiślica,buski,świętokrzyskie
Aleksandrów,wieś,Chodów,kolski,wielkopolskie
Aleksandrów Drugi,kolonia wsi Garbów,Tuszyn,łódzki wschodni,łódzkie
Aleksandrów Łódzki,miasto,Aleksandrów Łódzki,zgierski,łódzkie
Aleksandrów Trzeci,część miasta Warszawa,Warszawa,Warszawa,mazowieckie
Aleksandrówek,część wsi Jadwichna,Pęczniew,poddębicki,łódzkie
Aleksandrówka,wieś,Drelów,bialski,lubelskie
Aleksandrówka,wieś,Michów,lubartowski,lubelskie
Aleksandrówka,część miasta Rawa Mazowiecka,Rawa Mazowiecka m,rawski,łódzkie
Aleksandrówka,wieś,Dębe Wielkie,miński,mazowieckie
Aleksandrówka,kolonia wsi Pierożki,Szudziałowo,sokólski,podlaskie
Aleksandrynów,wieś,Gostynin,gostyniński,mazowieckie
Alfonsów,wieś,Wodzierady,łaski,łódzkie
Alfredówka,wieś,Nowa Dęba,tarnobrzeski,podkarpackie
Alojzów,wieś,Werbkowice,hrubieszowski,lubelskie
Altana,wieś,Dobre,radziejowski,kujawsko-pomorskie
Amalka,część wsi Podjazy,Sulęczyno,kartuski,pomorskie
Amelin,wieś,Kamionka,lubartowski,lubelskie
Ameryczka,kolonia,Szubin,nakielski,kujawsko-pomorskie
Ameryka,wieś,Mircze,hrubieszowski,lubelskie
Ameryka,część wsi Wielmoża,Sułoszowa,krakowski,małopolskie
Ameryka,część wsi Osowo,Karsin,kościerski,pomorskie
Ameryka,osada,Olsztynek,olsztyński,warmińsko-mazurskie
Amirowice,część wsi Niemirowice,Biała Rawska,rawski,łódzkie
Anastazewo,wieś,Powidz,słupecki,wielkopolskie
Ancuty-Kolonia,część wsi Ancuty,Narew,hajnowski,podlaskie
Andrychy,wieś,Grabowo,kolneński,podlaskie
Andrzejewo,kolonia,Sidra,sokólski,podlaskie
Andrzejewo-Zarzecze,część wsi Andrzejewo,Andrzejewo,ostrowski,mazowieckie
Andrzejów,część wsi Stanisławów,Ulan-Majorat,radzyński,lubelskie
Andrzejów,wieś,Łubnice,wieruszowski,łódzkie
Andrzejów,wieś,Brochów,sochaczewski,mazowieckie
Andrzejówka,wieś,Mircze,hrubieszowski,lubelskie
Andrzejówka,przysiółek wsi Ciecierze,Chmielnik,kielecki,świętokrzyskie
Andziółówka,część wsi Istebna,Istebna,cieszyński,śląskie
Anielewo,kolonia,Bobrowo,brodnicki,kujawsko-pomorskie
Anielin,wieś,Boniewo,włocławski,kujawsko-pomorskie
Anielin,wieś,Łask,łaski,łódzkie
Anielin,część wsi Garnowo Duże,Gołymin-Ośrodek,ciechanowski,mazowieckie
Anielin,część miasta Karczew,Karczew,otwocki,mazowieckie
Anielin,część wsi Pępowo,Pępowo,gostyński,wielkopolskie
Anielin Swędowski,wieś,Stryków,zgierski,łódzkie
Anieliny,wieś,Sadki,nakielski,kujawsko-pomorskie
Anielówka,wieś,Michów,lubartowski,lubelskie
Aniołka Druga,osada,Trzcinica,kępiński,wielkopolskie
Aniołowie,część wsi Groń,Bukowina Tatrzańska,tatrzański,małopolskie
Anna,część miasta Dąbrowa Górnicza,Dąbrowa Górnicza,Dąbrowa Górnicza,śląskie
Annobór,wieś,Lubartów,lubartowski,lubelskie
Annopol,kolonia,Żmudź,chełmski,lubelskie
Annopol,część wsi Ruda Talubska,Garwolin,garwoliński,mazowieckie
Annopol,część miasta Warszawa,Warszawa,Warszawa,mazowieckie
Annopol,osada,Miejska Górka,rawicki,wielkopolskie
Annopole Nowe,wieś,Zduńska Wola,zduńskowolski,łódzkie
Annowo,wieś,Gąsawa,żniński,kujawsko-pomorskie
Annów,wieś,Zadzim,poddębicki,łódzkie
Annówka,wieś,Mycielin,kaliski,wielkopolskie
Antałówka,część miasta Zakopane,Zakopane,tatrzański,małopolskie
Antolin,wieś,Budziszewice,tomaszowski,łódzkie
Antonia,wieś,Rozogi,szczycieński,warmińsko-mazurskie
Antoniew,wieś,Bedlno,kutnowski,łódzkie
Antoniew,wieś,Aleksandrów Łódzki,zgierski,łódzkie
Antoniewice,kolonia,Trzcińsko-Zdrój,gryfiński,zachodniopomorskie
Antoniewo,część wsi Ruda,Rogowo,rypiński,kujawsko-pomorskie
Antoniewo,część wsi Nowe Dąbie,Łabiszyn,żniński,kujawsko-pomorskie
Antoniewo,wieś,Brusy,chojnicki,pomorskie
Antoniewo,osada,Skoki,wągrowiecki,wielkopolskie
Antoniki,wieś,Lubaczów,lubaczowski,podkarpackie
Antonin,część wsi Branica Radzyńska,Radzyń Podlaski,radzyński,lubelskie
Antonin,wieś,Ciechanowiec,wysokomazowiecki,podlaskie
Antonin,wieś,Oborniki,obornicki,wielkopolskie
Antonin,przysiółek wsi Miąskowo,Krzykosy,średzki,wielkopolskie
Antonina,wieś,Jakubów,miński,mazowieckie
Antoninów,wieś,Sławno,opoczyński,łódzkie
Antoninów,wieś,Łąck,płocki,mazowieckie
